oblast,total_alerts,avg_daily,days_with_alert,total_days,avg_duration,alert_rate,total_alerts_norm,alert_rate_norm,avg_duration_norm,risk_score,risk_tier
Dnipropetrovska oblast,21724,40.52985074626866,536,536,272.4934052194133,1.0,0.9000981103101139,1.0,0.8144898169976568,0.9229372075235769,high_risk
Kharkivska oblast,24066,44.899253731343286,535,536,121.11540185575124,0.9981343283582089,1.0,0.9975186104218362,0.33353669784930134,0.8657147837385948,high_risk
Donetska oblast,12325,22.994402985074625,530,536,330.8819674066148,0.9888059701492538,0.49916819519686045,0.9851116625310175,1.0,0.7937119430911512,high_risk
Zaporizka oblast,14064,26.238805970149254,534,536,159.58067991239568,0.996268656716418,0.573348120974278,0.9950372208436725,0.455747290202066,0.7185035947675934,high_risk
Sumska oblast,12717,23.725746268656717,535,536,176.89549777333715,0.9981343283582089,0.5158896045727935,0.9975186104218362,0.5107593492374838,0.7075151558453487,high_risk
Chernihivska oblast,9454,17.638059701492537,523,536,157.9413732788562,0.9757462686567164,0.37670093418077893,0.967741935483871,0.45053894010415035,0.62788493588669,high_risk
Poltavska oblast,7840,14.626865671641792,525,536,108.39861505111621,0.9794776119402985,0.3078530904747686,0.9727047146401985,0.29313334899193333,0.5708497918443736,high_risk
Kyiv and Kyiv oblast,7800,14.552238805970148,487,536,93.63880223512888,0.9085820895522388,0.30614682421191824,0.8784119106699753,0.24623896635933076,0.5230712872246236,medium_risk
Khersonska oblast,5440,10.149253731343284,500,536,79.73023242935193,0.9328358208955224,0.20547711470374952,0.9106699751861043,0.20204912449101853,0.48686866085414526,medium_risk
Cherkaska oblast,5464,10.194029850746269,487,536,95.35295873583631,0.9085820895522388,0.2065008744614597,0.8784119106699753,0.251685126946765,0.484302139441927,medium_risk
Kirovohradska oblast,5143,9.595149253731343,497,536,82.17433679397656,0.9272388059701493,0.1928080877020859,0.903225806451613,0.2098144509689109,0.48037644785526173,medium_risk
Mykolaivska oblast,4953,9.240671641791044,496,536,72.15621339415567,0.9253731343283582,0.1847033229535469,0.9007444168734492,0.17798520504087542,0.4697761369389735,medium_risk
Odeska oblast,7140,13.32089552238806,471,536,52.00430833134896,0.878731343283582,0.27799343087488804,0.8387096774193548,0.11395924762713802,0.4694730928431247,medium_risk
Zhytomyrska oblast,1988,3.708955223880597,356,536,78.58829137488227,0.664179104477612,0.0582263362197671,0.5533498759305211,0.1984209876426858,0.28431468238865243,medium_risk
Vinnytska oblast,2099,3.916044776119403,312,536,55.984222285100195,0.582089552238806,0.06296122509917673,0.44416873449131516,0.12660409686193913,0.2281728032085846,medium_risk
Khmelnytska oblast,1052,1.962686567164179,227,536,38.77876658374793,0.42350746268656714,0.018299705669069657,0.2332506203473945,0.07193949961490856,0.11500803032956738,medium_risk
Rivnenska oblast,1107,2.0652985074626864,215,536,35.11723049317911,0.40111940298507465,0.020645821780488845,0.2034739454094293,0.060306189857197205,0.10170914484740672,low_risk
Volynska oblast,750,1.3992537313432836,162,536,22.356938542990317,0.30223880597014924,0.005417395384549759,0.07196029776674936,0.01976461790936594,0.03490400084239284,low_risk
Ternopilska oblast,643,1.1996268656716418,156,536,21.614562603648423,0.291044776119403,0.0008531331314251589,0.05707196029776676,0.01740596595417122,0.026651230562511015,low_risk
Chernivetska oblast,623,1.162313432835821,152,536,19.423624832188263,0.2835820895522388,0.0,0.04714640198511165,0.010444991891696183,0.020947559172383896,low_risk
Lvivska oblast,1036,1.9328358208955223,142,536,16.640946650002157,0.26492537313432835,0.01761719916392953,0.022332506203473934,0.0016039600272889358,0.016300674152419176,low_risk
Ivano-Frankivska oblast,889,1.6585820895522387,141,536,17.180521351575454,0.2630597014925373,0.011346670647954613,0.019851116625310194,0.003318278686333392,0.013142770646572603,low_risk
Zakarpatska oblast,863,1.6100746268656716,133,536,16.13610687094829,0.24813432835820895,0.010237597577101907,0.0,0.0,0.004095039030840763,low_risk
